subject_id,loc_plot_state1,loc_plot_city1,loc_plot_state2,loc_plot_city2,date_exposure,plot_target1,plot_target2,plot_target3,attack_preparation,op_security,anticp_fatals_targ,extent_plot,violent,criminal_severity,criminal_charges,indict_arrest,group_membership,terrorist_group_name1,terrorist_group_name2,terrorist_group_name3,actively_recruited,recruiter1,recruiter2,recruiter3,actively_connect,role_group,length_group,clique,clique_radicalize,clique_connect,internet_radicalization,media_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_platform2,social_media_platform3,social_media_platform4,social_media_platform5,social_media_activities1,social_media_activities2,social_media_activities3,social_media_activities4,social_media_activities5,social_media_activities6,social_media_activities7,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,ideological_sub_category2,ideological_sub_category3,loc_habitation_state1,loc_habitation_city1,loc_habitation_state2,loc_habitation_city2,external_rad,rad_duration,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,event_influence2,event_influence3,event_influence4,beliefs_trajectory,behaviors_trajectory,radicalization_sequence,radicalization_place,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,religious_background,convert,convert_date,reawakening,reawakening_date,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,language_english,diaspora_ties,education,student,education_change,employment_status,change_performance,work_history,military,foreign_military,social_stratum_childhood,social_stratum_adulthood,aspirations,abuse_child,abuse_adult,abuse_type1,abuse_type2,abuse_type3,psychological,alcohol_drug,absent_parent,overseas_family,close_family,family_religiosity,family_ideology,family_ideological_level,prison_family_friend,crime_family_friend,radical_friend,radical_family,radical_signif_other,relationship_troubles,platonic_troubles,unstructured_time,friendship_source1,friendship_source2,friendship_source3,kicked_out,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_type2,previous_criminal_activity_type3,previous_criminal_activity_age,gang,gang_age_joined,trauma,other_ideologies,angry_us,group_grievance,standing,year,month
1000,Illinois,Chicago,Florida,Broward County,2002-05-08,14.0,,,1.0,2.0,3.0,2.0,1,5.0,2.0,4.0,3.0,al-Qaeda core,,,1.0,3.0,4.0,,0.0,2.0,36.0,1.0,1.0,1.0,0.0,0.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Florida,Fort Lauderdale,,,1.0,3.0,6.0,4.0,,,1.0,,,,1.0,1.0,,1,,1.0,32.0,2.0,2.0,2,8.0,1.0,1992-01-01 00:00:00,0.0,-88,United States of America,1.0,United States of America,504.0,0.0,-88,-88.0,-88.0,2.0,1.0,,5.0,,3.0,0.0,0.0,1.0,2.0,0.0,0,0,-88.0,,,0,0,0.0,1.0,2.0,,,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,1.0,4.0,,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2002,5
1001,Afghanistan,,,,2001-11-25,-88.0,,,-88.0,-88.0,-88.0,0.0,0,7.0,2.0,4.0,3.0,Taliban,,,0.0,-88.0,,,2.0,2.0,24.0,1.0,0.0,1.0,1.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,California,San Francisco,,,1.0,2.0,10.0,5.0,,,0.0,,,,1.0,1.0,1,1,-88.0,3.0,20.0,1.0,0.0,2,8.0,1.0,1997-01-01 00:00:00,0.0,-88,United States of America,1.0,United States of America,240.0,0.0,-88,-88.0,-88.0,3.0,1.0,,4.0,-88.0,,0.0,0.0,3.0,,,0,0,-88.0,,,0,0,0.0,,2.0,1.0,,,,,3.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,-88.0,,,-88.0,0.0,-88.0,,0.0,1.0,,,2001,11
1002,California,Santa Ana,,,1997-05-01,,,,,,,,0,10.0,2.0,3.0,3.0,al-Qaeda core,,,1.0,1.0,,,1.0,3.0,180.0,1.0,1.0,1.0,1.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,California,Santa Ana,,,1.0,3.0,10.0,5.0,0.0,0.0,0.0,,,,1.0,1.0,1,1,0.0,3.0,28.0,2.0,1.0,2,11.0,1.0,1995-01-01 00:00:00,0.0,-88,United States of America,1.0,United States of America,228.0,0.0,-88,-88.0,-88.0,3.0,0.0,-88.0,1.0,,3.0,0.0,0.0,2.0,2.0,,0,0,-88.0,,,0,0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,4.0,,,1.0,3.0,4.0,20.0,,2.0,0.0,-88.0,,0.0,1.0,1.0,,1997,5
1005,New York,New York,,,1993-04-10,1.0,,,2.0,2.0,3.0,5.0,1,10.0,2.0,4.0,2.0,-88,,,,,,,0.0,2.0,,1.0,1.0,1.0,-88.0,,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New Jersey,,,,0.0,,10.0,5.0,1.0,1.0,0.0,,,,1.0,2.0,1,1,-88.0,4.0,25.0,2.0,1.0,2,5.0,0.0,-88,0.0,-88,United States of America,2.0,Kuwait,84.0,1.0,Kuwait,1.0,0.0,5.0,0.0,-88.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0,0,-88.0,,,0,0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,,,0.0,0.0,-88.0,,,-88.0,0.0,-88.0,0.0,0.0,1.0,2.0,0.0,1993,4
1006,New York,New York,,,1993-03-04,1.0,,,2.0,2.0,3.0,5.0,1,10.0,2.0,4.0,2.0,-88,,,1.0,3.0,,,1.0,2.0,60.0,1.0,1.0,1.0,-88.0,,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New Jersey,Jersey City,,,0.0,2.0,10.0,5.0,1.0,1.0,,,,,1.0,,1,1,-88.0,4.0,25.0,1.0,0.0,2,5.0,0.0,-88,0.0,-88,Jordan,5.0,Palestine; Jordan,60.0,1.0,Palestine,1.0,2.0,5.0,0.0,-88.0,,,,0.0,,,,,0,0,-88.0,,,0,0,,,,,,,,2.0,3.0,0.0,0.0,,,,,,,,,,,,,0.0,-88.0,,0.0,1.0,,,1993,3
1010,New York,New York,,,2003-03-01,14.0,19.0,,2.0,2.0,3.0,2.0,1,7.0,2.0,3.0,3.0,al-Qaeda core,,,1.0,1.0,,,0.0,3.0,108.0,1.0,0.0,1.0,,,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New York,,Florida,,1.0,3.0,10.0,5.0,0.0,0.0,1.0,,,,1.0,1.0,1,,,4.0,27.0,2.0,1.0,2,1.0,0.0,-88,0.0,-88,United States of America,2.0,Saudi Arabia,324.0,1.0,Saudi Arabia,1.0,2.0,5.0,0.0,-88.0,1.0,,4.0,0.0,,2.0,2.0,,0,0,-88.0,,,0,0,0.0,1.0,2.0,2.0,1.0,2.0,,,3.0,2.0,0.0,0.0,,0.0,6.0,,,0.0,,,,,,0.0,-88.0,0.0,0.0,1.0,,3.0,2003,3
1013,New York,Lackawanna,,,2002-09-10,-88.0,,,-88.0,-88.0,-88.0,0.0,1,5.0,2.0,4.0,3.0,al-Qaeda core,,,1.0,1.0,3.0,,2.0,2.0,16.0,1.0,1.0,1.0,0.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,1.0,2.0,8.0,2.0,0.0,0.0,0.0,,,,2.0,2.0,3,1,-88.0,4.0,23.0,2.0,0.0,2,1.0,0.0,-88,,,United States of America,1.0,United States of America,96.0,2.0,Yemen,-88.0,2.0,3.0,0.0,-88.0,3.0,-88.0,,0.0,0.0,2.0,2.0,,0,0,-88.0,,,0,1,0.0,1.0,2.0,1.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,1.0,1.0,4.0,,0.0,1.0,6.0,12.0,,1.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,2002,9
1014,New York,Lackawanna,,,2002-09-15,-88.0,,,-88.0,-88.0,-88.0,0.0,1,5.0,2.0,4.0,3.0,al-Qaeda core,,,1.0,1.0,,,2.0,2.0,18.0,1.0,1.0,1.0,0.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,0.0,,6.0,2.0,0.0,0.0,0.0,,,,1.0,2.0,1,0,-88.0,4.0,28.0,2.0,3.0,2,1.0,0.0,-88,1.0,1995-01-01 00:00:00,United States of America,1.0,United States of America,336.0,0.0,-88,-88.0,-88.0,5.0,0.0,-88.0,1.0,,4.0,0.0,0.0,2.0,2.0,,0,0,-88.0,,,0,0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,1.0,,,,,0.0,-88.0,,0.0,,,,2002,9
1015,New York,Lackawanna,,,2002-10-21,-88.0,,,-88.0,-88.0,-88.0,0.0,1,5.0,2.0,4.0,3.0,al-Qaeda core,,,,,,,2.0,2.0,15.0,1.0,1.0,1.0,0.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New York,Buffalo,,,1.0,2.0,8.0,,,,,,,,,,,,-88.0,4.0,26.0,2.0,3.0,2,1.0,0.0,-88,,,United States of America,1.0,United States of America,312.0,0.0,-88,-88.0,-88.0,3.0,0.0,-88.0,1.0,,4.0,0.0,0.0,2.0,2.0,,0,0,-88.0,,,0,0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,,2.0,0.0,-88.0,,0.0,,,,2002,10
1016,New York,Lackawanna,,,2002-09-18,-88.0,,,-88.0,-88.0,-88.0,0.0,1,5.0,2.0,4.0,3.0,al-Qaeda core,,,1.0,1.0,,,2.0,2.0,15.0,1.0,1.0,1.0,0.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,0.0,2.0,8.0,2.0,0.0,0.0,0.0,,,,1.0,2.0,1,1,-88.0,4.0,25.0,2.0,1.0,2,1.0,0.0,-88,1.0,2001-01-01 00:00:00,United States of America,1.0,United States of America,300.0,2.0,Yemen ,-88.0,2.0,5.0,0.0,-88.0,1.0,,4.0,0.0,0.0,2.0,2.0,,0,0,-88.0,,,0,0,,,2.0,1.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,,4.0,1.0,,,,,,,,0.0,-88.0,,0.0,0.0,0.0,,2002,9
