subject_id,loc_plot_state1,loc_plot_city1,date_exposure,plot_target1,attack_preparation,op_security,anticp_fatals_targ,extent_plot,violent,criminal_severity,criminal_charges,indict_arrest,group_membership,terrorist_group_name1,actively_recruited,recruiter1,role_group,length_group,clique,clique_radicalize,clique_connect,internet_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_activities1,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,loc_habitation_state1,loc_habitation_city1,external_rad,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,radicalization_sequence,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,convert,convert_date,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,language_english,diaspora_ties,education,student,education_change,employment_status,work_history,military,foreign_military,social_stratum_adulthood,abuse_child,abuse_adult,abuse_type1,psychological,alcohol_drug,radical_friend,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_age,gang,gang_age_joined,other_ideologies,angry_us,group_grievance,year,month
1000,Illinois,Chicago,5/8/02,14,1,2,3,2,1,5,2,4,3,al-Qaeda core,1,3,2,36,1,1,1,0,-88,-88,-88,-88,1,0,0,0,11,Florida,Fort Lauderdale,1,6,4,,,1,,,1,32,2,2,2,1,1/1/92 0:00,United States of America,1,United States of America,504,0,-88,-88,-88,2,1,,5,3,0,0,2,0,0,-88,0,0,3,3,1,1,1,3,0,0,0,2002,5
1001,Afghanistan,,11/25/01,-88,-88,-88,-88,0,0,7,2,4,3,Taliban,0,-88,2,24,1,0,1,1,-88,-88,-88,-88,1,0,0,0,11,California,San Francisco,1,10,5,,,0,1,-88,3,20,1,0,2,1,1/1/97 0:00,United States of America,1,United States of America,240,0,-88,-88,-88,3,1,,4,,0,0,,0,0,-88,0,0,3,0,-88,-88,0,-88,0,1,,2001,11
1002,California,Santa Ana,5/1/97,,,,,,0,10,2,3,3,al-Qaeda core,1,1,3,180,1,1,1,1,-88,-88,-88,-88,1,0,0,0,11,California,Santa Ana,1,10,5,0,0,0,1,0,3,28,2,1,2,1,1/1/95 0:00,United States of America,1,United States of America,228,0,-88,-88,-88,3,0,-88,1,3,0,0,2,0,0,-88,0,0,3,3,4,2,0,-88,0,1,1,1997,5
1005,New York,New York,4/10/93,1,2,2,3,5,1,10,2,4,2,-88,,,2,,1,1,1,-88,-88,-88,-88,-88,1,0,0,0,11,New Jersey,,0,10,5,1,1,0,1,-88,4,25,2,1,2,0,-88,United States of America,2,Kuwait,84,1,Kuwait,1,0,5,0,-88,1,4,0,0,3,0,0,-88,0,0,3,0,-88,-88,0,-88,0,1,2,1993,4
1006,New York,New York,3/4/93,1,2,2,3,5,1,10,2,4,2,-88,1,3,2,60,1,1,1,-88,-88,-88,-88,-88,1,0,0,0,11,New Jersey,Jersey City,0,10,5,1,1,,1,-88,4,25,1,0,2,0,-88,Jordan,5,Palestine; Jordan,60,1,Palestine,1,2,5,0,-88,,,0,,,0,0,-88,0,0,3,,,,0,-88,0,1,,1993,3
1010,New York,New York,3/1/03,14,2,2,3,2,1,7,2,3,3,al-Qaeda core,1,1,3,108,1,0,1,,-88,-88,-88,-88,1,0,0,0,11,New York,,1,10,5,0,0,1,1,,4,27,2,1,2,0,-88,United States of America,2,Saudi Arabia,324,1,Saudi Arabia,1,2,5,0,-88,1,4,0,,2,0,0,-88,0,0,3,,,,0,-88,0,1,,2003,3
1013,New York,Lackawanna,9/10/02,-88,-88,-88,-88,0,1,5,2,4,3,al-Qaeda core,1,1,2,16,1,1,1,0,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,1,8,2,0,0,0,3,-88,4,23,2,0,2,0,-88,United States of America,1,United States of America,96,2,Yemen,-88,2,3,0,-88,3,,0,0,2,0,0,-88,0,1,2,1,6,1,0,-88,0,0,0,2002,9
1014,New York,Lackawanna,9/15/02,-88,-88,-88,-88,0,1,5,2,4,3,al-Qaeda core,1,1,2,18,1,1,1,0,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,0,6,2,0,0,0,1,-88,4,28,2,3,2,0,-88,United States of America,1,United States of America,336,0,-88,-88,-88,5,0,-88,1,4,0,0,2,0,0,-88,0,0,2,1,,,0,-88,0,,,2002,9
1015,New York,Lackawanna,10/21/02,-88,-88,-88,-88,0,1,5,2,4,3,al-Qaeda core,,,2,15,1,1,1,0,-88,-88,-88,-88,1,0,0,0,11,New York,Buffalo,1,8,,,,,,-88,4,26,2,3,2,0,-88,United States of America,1,United States of America,312,0,-88,-88,-88,3,0,-88,1,4,0,0,2,0,0,-88,0,0,2,1,,2,0,-88,0,,,2002,10
1016,New York,Lackawanna,9/18/02,-88,-88,-88,-88,0,1,5,2,4,3,al-Qaeda core,1,1,2,15,1,1,1,0,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,0,8,2,0,0,0,1,-88,4,25,2,1,2,0,-88,United States of America,1,United States of America,300,2,Yemen ,-88,2,5,0,-88,1,4,0,0,2,0,0,-88,0,0,2,,,,0,-88,0,0,0,2002,9
1017,New York,Lackawanna,10/21/02,-88,-88,-88,-88,0,1,5,2,4,3,al-Qaeda core,1,3,3,,1,1,1,0,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,1,6,5,1,1,,1,-88,4,25,1,0,2,0,-88,United States of America,1,United States of America,,2,Yemen ,,2,3,0,-88,3,3,,0,2,0,0,-88,0,0,2,,,,0,-88,0,1,,2002,10
1018,New York,Lackawanna,9/13/02,-88,-88,-88,-88,0,1,5,2,4,3,al-Qaeda core,1,4,2,24,1,1,1,0,-88,-88,-88,-88,1,0,0,0,11,New York,,0,8,3,,,,1,-88,4,24,1,1,2,0,-88,United States of America,1,United States of America,288,,Yemen,,,3,1,,1,4,0,0,1,0,0,-88,0,0,2,0,-88,-88,0,-88,0,,,2002,9
1019,New York,New York,6/20/03,14,1,2,2,1,1,5,2,4,3,al-Qaeda core,1,3,1,36,,,,1,-88,-88,-88,-88,1,0,0,0,11,Ohio,Columbus,1,7,2,,,,1,,6,34,3,0,2,0,-88,United States of America,2,Pakistan,108,1,Pakistan,,,,,,2,4,,,2,0,0,-88,1,0,2,,,,0,-88,0,0,,2003,6
1020,Virginia,Fairfax,11/23/04,-88,-88,-88,-88,0,0,4,2,4,2,Taliban,0,-88,3,,1,0,1,0,-88,-88,-88,-88,1,0,0,0,11,Virginia,Fairfax,1,3,5,0,0,1,1,-88,4,41,2,,2,0,-88,United States of America,1,United States of America,492,2,Iraq,-88,,11,1,,1,4,0,0,2,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,2,2004,11
1021,Virginia,Alexandria,6/1/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),1,4,2,36,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,District of Columbia,Washington,1,8,5,1,1,1,3,-88,3,30,2,4,2,1,6/1/92 0:00,United States of America,1,United States of America,360,0,-88,-88,-88,5,1,,1,4,0,0,3,0,0,-88,0,0,1,0,-88,-88,0,-88,0,1,1,2003,6
1022,Virginia,Alexandria,6/27/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),1,4,3,22,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Virginia,,1,8,5,0,0,1,,-88,4,26,1,0,2,0,-88,Yemen,4,Yemen,120,1,Yemen,,2,,0,-88,,,0,0,2,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,1,2003,6
1023,Virginia,Alexandria,6/1/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),1,4,2,21,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Virginia,,1,8,5,1,1,1,1,,6,26,1,,2,1,1/1/97 0:00,United States of America; South Korea,2,South Korea,,1,South Korea,,,5,0,-88,,,0,0,2,0,0,-88,0,0,2,1,20,2,0,-88,1,1,3,2003,6
1024,Virginia,Alexandria,6/1/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),1,4,2,21,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Virginia,Alexandria,1,8,5,1,1,1,,-88,4,26,3,,2,0,-88,United States of America; Pakistan,2,Pakistan,156,1,Pakistan,,,9,0,-88,1,,0,0,,0,0,-88,0,0,2,,,,0,-88,0,1,3,2003,6
1025,Virginia,Alexandria,6/1/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),1,4,2,21,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Pennsylvania,Royersford,1,8,5,1,1,1,,-88,4,30,2,2,2,0,-88,Pakistan,4,Pakistan,,1,Pakistan,,,9,0,-88,1,4,0,0,2,0,0,-88,0,0,2,,,,0,-88,0,1,3,2003,6
1026,Virginia,Alexandria,6/1/03,-88,-88,-88,-88,0,0,5,2,4,3,Lashkar-e Tayyiba (LeT),,,2,26,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Maryland,,0,10,5,1,1,1,1,-88,,30,,,2,1,,United States of America,1,United States of America,360,0,-88,-88,-88,,0,-88,,,1,0,,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,2,2003,6
1027,Virginia,Alexandria,7/28/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),1,4,3,,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Virginia,,1,10,4,1,0,1,,-88,6,31,2,1,2,0,-88,United States of America,1,United States of America,372,0,-88,-88,2,5,1,0,1,4,0,0,2,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,1,2003,7
1028,Virginia,Alexandria,6/1/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),1,4,3,21,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Virginia,,1,8,5,1,1,1,,-88,,30,2,2,2,1,,United States of America,1,United States of America,342,0,-88,-88,-88,,0,-88,1,4,1,0,2,0,0,-88,0,0,2,,,,0,-88,0,1,3,2003,6
1029,Virginia,Fredericksburg,6/1/03,-88,-88,-88,-88,0,0,5,2,4,3,Lashkar-e Tayyiba (LeT),,,2,36,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Virginia,Falls Church,1,8,5,1,1,1,1,-88,2,35,2,2,2,1,1/1/94 0:00,United States of America,1,United States of America,420,0,-88,-88,-88,5,0,-88,1,4,3,0,2,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,,2003,6
1031,Virginia,Arlington,6/1/03,-88,-88,-88,-88,0,1,7,2,4,3,Lashkar-e Tayyiba (LeT),,,1,12,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,Virginia,Falls Church,,8,,,,1,1,-88,,28,1,1,2,0,-88,United States of America,1,United States of America,336,0,-88,-88,-88,9,,,,,0,0,2,0,0,-88,0,0,2,0,-88,-88,0,-88,0,,,2003,6
1035,New York,New York,8/29/04,19,2,0,3,1,1,7,2,4,1,-88,0,-88,2,,1,,0,,-88,-88,-88,-88,1,0,0,0,11,New York,New York,,7,4,1,0,5,1,0,4,21,1,0,2,0,-88,Pakistan,5,Pakistan,56,1,Pakistan,1,2,7,0,0,1,3,0,0,2,0,0,-88,0,0,3,1,9,2,0,-88,0,1,2,2004,8
1036,New York,New York,8/29/04,19,,,2,1,1,7,2,4,2,-88,0,-88,2,,1,0,0,,-88,-88,-88,-88,1,0,0,0,11,New York,New York,0,10,1,1,0,8,1,-88,4,19,,,2,0,-88,United States of America,1,United States of America,,0,-88,-88,-88,3,0,-88,,,0,0,1,2,0,1,2,1,3,,,,0,-88,0,1,,2004,8
